BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
13,"978-92-897-1402-0","MLLGRNBFWCDMV15","Mascherini, M.; Ludwinek, A.; Ledermaier, S.; Gstrein, M.; Rodiga-Laßnig, P.; Naylon, I.; Broek, S.; Fondeville, N.; Ward, T.; Cancedda, A.; Day, L.; Meierkord, A. & Van Beek, L.","Social inclusion of young people","",,,"","",2015,"Luxembourg","","","","","","","","Publications Office of the European Union","","","European Foundation for the Improvement of Living and Working Conditions (Eurofound)","","European Foundation for the Improvement of Living and Working Conditions (Eurofound)","","","","youth; social inclusion; NEET, youth unemployment; youth guarantee; policy intervention","[Formatter not found: ResolvePDF] ",""
7,"","NH15","Neefs, B. & Herremans, W.","Een baan voor het leven? Over jobanciënniteit en arbeidsmobiliteit op de Vlaamse arbeidsmarkt","Over.Werk. Tijdschrift van het Steunpunt Werk",25,2,"","136-145",2015,"","","http://www.steunpuntwerk.be/node/3342","","","","","","","","","","","","","","","NEET; youth; education; labour market; youth unemployment; flexibility; labour mobility","[Formatter not found: ResolvePDF] ",""
13,"9789088731181","NHS14","Neefs, B.; Herremans, W. & Sels, L.","Vlaanderen op de kaart van Europese regionale arbeidsmarkten","",,7,"","",2014,"","","http://www.steunpuntwerk.be/node/3202","","","","","","","","","Steunpunt Werk en Sociale Economie","","Steunpunt Werk en Sociale Economie","","","","NEET; youth; education; labour market; youth unemployment; flexibility; labour mobility","[Formatter not found: ResolvePDF] ",""
13,"","PDDHKR14","Peters, B.; Dachs, B.; Duenser, M.; Hud, M.; Koehler, C. & Rammer, C.","Firm Growth, Innovation and the Business Cycle - Background Report for the 2014 Competitiveness Report","",,,"","",2014,"","","","","","","","","","","","Centre for European Economic Research; AIT Austrian Institute of Technology","","Centre for European Economic Research; AIT Austrian Institute of Technology","","","","innovation; employment; reallocation; compensation effect; displacement effect","[Formatter not found: ResolvePDF] ",""
7,"","RS15","Riedl, A. & Schoiswohl, F.","Is there an added worker effect? � European labor supply during the crisis","Focus on European Economic Integration",4,,"","71-88",2015,"","","","","","","","","","","","","","","","","","labor force participation rate; unemployment; European countries","[Formatter not found: ResolvePDF] ",""
13,"","RVR14","Royuela, V.; Veneri, P. & Ramos, R.","Income Inequality, Urban Size and Economic Growth in OECD Regions","",,2014/10,"","",2014,"","","","","","","","","","","","OECD Regional Development Working Papers","","OECD Regional Development Working Papers","","","","inequality; economic growth; urban; OECD regions; regional income inequality; functional urban areas; poverty; inequality indicators","[Formatter not found: ResolvePDF] ",""
7,"","SH16","Scholiers, B. & Herremans, W.","Wel jong, niet NEET. Een analyse van de NEET-jongeren in Vlaanderen","Over.Werk. Tijdschrift van het Steunpunt Werk",26,1,"","82-91",2016,"","","http://www.steunpuntwerk.be/node/3500","","","","","","","","","","","","","","","NEET; youth; education; labour market; youth unemployment; flexibility; labour mobility","[Formatter not found: ResolvePDF] ",""
7,"","Sparreboom16","Sparreboom, T.","Occupational segregation by hours of work in Europe","International Labour Review",,,"","",2016,"","","","","","","","","","","","","","","","","","segregation; part-time work; gender equality","[Formatter not found: ResolvePDF] ",""
13,"978-92-79-47780-5","TBB15","Tinios, P.; Bettio, F. & Betti, G.","Men, Women and Pensions","",,,"","",2015,"","","","","","","","","","","","European Commission, Directorate-General for Justice and Consumers","","European Commission, Directorate-General for Justice and Consumers","","","","","[Formatter not found: ResolvePDF] ",""
7,"","VH14a","Vanderbiesen, W. & Herremans, W.","Broos herstel van de Vlaamse arbeidsmarkt","Over.Werk. Tijdschrift van het Steunpunt Werk",24,4,"","8-20",2014,"","","http://www.steunpuntwerk.be/node/3206","","","","","","","","","","","","","","","NEET; youth; education; labour market; youth unemployment; flexibility; labour mobility","[Formatter not found: ResolvePDF] ",""
7,"","VH14b","Vanderbiesen, W. & Herremans, W.","Belgiae: land van permanente vorming?","Over.Werk. Tijdschrift van het Steunpunt Werk",24,2,"","70-79",2014,"","","http://www.steunpuntwerk.be/node/3107","","","","","","","","","","","","","","","NEET; youth; education; labour market; youth unemployment; flexibility; labour mobility","[Formatter not found: ResolvePDF] ",""
7,"","VH15","Vanderbiesen, W. & Herremans, W.","De Vlaamse arbeidsmarkt: het kantelpunt bereikt?","Over.Werk. Tijdschrift van het Steunpunt Werk",25,4,"","8-23",2015,"","","http://www.steunpuntwerk.be/node/3400","","","","","","","","","","","","","","","NEET; youth; education; labour market; youth unemployment; flexibility; labour mobility","[Formatter not found: ResolvePDF] ",""
13,"","Proba14","","Internasjonal sammenligning av sykefravaer - Utarbeidet for Arbeids- og sosialdepartementet","",,2014-03,"","",2014,"","","","","","","","","","","","Proba Research (Proba samfunnsanalyse)","","Proba Research (Proba samfunnsanalyse)","","","","international comparison; sick leave","[Formatter not found: ResolvePDF] ",""
13,"","Lux15a","","La Transition de l'adolescence vers l'age adulte","",,,"","",2015,"","","","","","","","","","","","Ministere de l'Education nationale, de l'Enfance et de la Jeunesse \& Universite du Luxembourg","","Ministere de l'Education nationale, de l'Enfance et de la Jeunesse \& Universite du Luxembourg","","","","","[Formatter not found: ResolvePDF] ",""
13,"","Lux15b","","The transition from youth into adulthood","",,,"","",2015,"","summary","","","","","","","","","","Ministère de l'Éducation nationale, de l'Enfance et de la Jeunesse \& Université du Luxembourg","","Ministère de l'Éducation nationale, de l'Enfance et de la Jeunesse \& Université du Luxembourg","","","","","[Formatter not found: ResolvePDF] ",""
